TC001A TUH001A TUH002A TUH002B TUH002C TUH002D TUH002E TUH002F TVV001A TVV002A TVV003A TVC001A TVC002A TVC003A TVC003B TVC004AA TVC004AB TVC004AC TVC004AD TVC004AE TVC004AF TVC004AG TVC004AH TVC004AI TVC004AL TVC004AM TVC004AN TVC004BG TVC004BM TVC005A TVC005B TVC006A TVC006B TVC006C TVC006D TVC006E TVC006F TVC006G TVC006H TVC006I TVC006J TVC006K TVT001A TVT001B TVT002A TVT002B TVT002C TVT003A TVT003B TVT004A TVT005A TVT006A TVT006B TVE001AA TVE001BA TVE001CA TVE001DA TVE001EA TVE001FA TVE001GA TVE001HA TVE001IA TVE001JA TVE001KA TVE001LA TVE001MA TVE001NA TVE001OA TVE001PA TVE001AB TVE001LB TVE001MB TVE001NB TVE001OB TVE001PB TVE002A TVE002B TVE002CA TVE002CB TVE002CC TVE002DA TVE002DB TVE002DC TES001A TES001B TES001C TES001D TES001E TES001F TES001G TES001H TES001I TES001J TES001K TES001L TES001M TES002A TES002C TES002D TES002E TES002F TEM001A TEM001B TEM001C TEM001D TEM001E TEM002A TEM002B TEM002C TEM002D TEM002E TEM003A TEM003B TEM003C TEE001A TEE001B TEE001C TEE001D TEE001E TEE001F TEE001G TEE001H TEE001I TEE001J TEE001K TEE001L TSS001A TSS002A TSS003A TSS004A TSS004B TSS004C TSS004D TSS004E TSS004F TSS004G TSS004H TSS004I TSS005A TSS005B TSS005C TSS005D TSS005E TSS005F TSS005G TSS005H TSS005I TSS005J TSS005K TSI001AA TSI001AB TSI001BA TSI001BB TSI001CA TSI001CB TSI001DA TSI001DB TSI001EA TSI001EB TSI001FA TSI001FB TSI002A TSI002C TSI003A 
3 1 -1 -1 -1 -1 -1 -1 2004 5 3 3 4 82 69 1 1 1 6 6 6 1 1 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 6 6 1 1 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 6 6 1 6 6 1 6 6 1 6 6 6 1 2 1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 -1 6 5 0 5 4 7 -1 -1 1 0 -1 3 1502,53 4 1 6 6 6 6 1 6 6 6 2 2 2 -1 4 -1 4 2 2 2 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1967 4 1 3 3 92 86 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 1 6 6 6 6 1 6 6 6 6 6 1 1 6 -1 -1 -1 -1 -1 1 6 -1 1 1 1 1 1 1 6,0 1 1 1 1 1 1 1 6 1 2 -1 1 1 -1 2 6 -1 -1 -1 -1 -1 -1 -1,0 4 4 4 1,0 1 1 1 1 1 1 2 2 1 6 1 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 6 7 7 8 6 7 5 -1 -3 -3 5 -1 3 1803,04 3 1 6 6 6 6 1 6 6 6 2 2 4 3 -1 3 3 3 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1967 1 -1 3 4 107 100 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 1 6 6 1 6 6 1 1 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 1 1 1 6 6 6 6 1 1 6 6 6 1 2 4 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 1 1 1 1 1 1 1 1 6 6 6 6 6 1 1 1 4 4 3 3 3 -1 -1 1 3 1 0 9 5 5 5 5 7 -1 7 -3 4 -1 3 1502,53 3 1 6 6 6 6 1 6 6 6 3 2 2 -1 -1 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1,0 -1 -1 -1 -1 -1 1980 1 -1 4 5 120 100 1 1 1 6 1 -1 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6,0 6 6 6 6 6 6 1 -9 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 1 6 1 6 6 1 6 1 1,0 1 6 6,0 1 2 3 1 -1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 4 4 4 3 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 5 1 1 0 7 5 7 7 8 9 -1 -1 5 5 3 3 6000 4 1 6 6 6 6 1 6 6 6 3 2 1 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 
1 1 -1 -1 -1 -1 -1 -1 1958 2 2 2 4 107 100 1 1 1 6 -1 -1 6 1 6 1 1 1 -1 1 5 1 6 6 1 6 1 1 1 1 6 6 6 1 1 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 1 6 1 6 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 4 4 4 1 1 1 1 1 1 1 2 1 1 6 6 6 6 6 1 1 1 1 1 1 1 1 1 1 1 1 1 6 8 6 6 3 8 8 -1 6 6 -3 -1 3 601,01 2 1 6 6 6 6 1 6 6 6 2 1 2 1 -1 2 2 2 2 2 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1 -1 -1 1954 3 1 3 4 107 100 1,0 1 1 6 6 6 6 1 6,0 1 1 1 -1 1 5 1 6 6 6 6 6 1 6 6 6 6 6 1 1 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 1 -1 -1 -1 -1 -1,0 6 -1 -1 -1 -1 -1 -1 -1 2 2 2 1 1 1 1 1 1 1 2 2 1 1 6 6 6 6 1 1 1 4 4 4 4 4 -1 -1,0 1 1 1 0 8 0 0 0 3 8 -1 -3 6 3 -1 3 400 2 1 6 6 6 6 1 6 6 6 3 2 1 2 -1 1 1 1 1 1 1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 300 6 
3 1 -1 -1 -1 -1 -1 -1 2000 2 1 4 3 92 86 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 2 -9 -1 -1 -1 83193 500 -1 1 6 -1 1 6 6 1 6 6 6 6 6 6 6 1 6 6 6 1 1 2 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 6 6 8 7 7 7 6 -1 -9 6 6 6 3 3000 3 6 6 6 6 6 6 6 6 6 2 5 4 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 
1 1 -1 -1 -1 -1 -1 -1 1960 2 2 1 5 120 113 1 1 1 6 -1 -1 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6,0 6 6 6 2 -9 -1 -1 -1 16000 96 -1 1 6 -1,0 1 6 6 6 6 6 6 6 6 6 1 6,0 6 6 6 6 1 -1 -1 -1 -1 -1 6,0 -1 -1 -1 -1 -1 -1 -1 2 2 2 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 2 7 6 6 -9 8 7 -1 -9 7 -9 -1 3 721,21 2 1 6 6 6 6 1 6 6 6 2 2 2 2 -1 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
5 1 -1 -1 -1 -1 -1 -1 1995 2 2 5 4 72 69 1 1 1 6 6 6 1 1 6 1 1 1 1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 -9 1 33277 200 -1 -1 -1 1 1 721 1 1 1 1 6 1 6 6 1 1 1 1 6 6 6 1 1 1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 4 3 3 2 3 1 1 1 1 1 2 2 1 6 1 1 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 4 3 1 6 2 5 0 0 0 5 -1 -3 -3 0 -1 3 2103,54 4 1 6 6 6 1 1 6 6 6 2 2 3 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1997 1 -1 5 4 75 70 1 1,0 1 6 6 6 1 6,0 6 1 1 1 1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 1 1 33277 200 -1 -1 -1 2 1 601 1 1 1 1 1 1 1 6 1 6 1 1 1 1 6 1 4 4 2 1 -1 3 6 -1 -1 -1 -1 -1 -1 -1 4 3 3 1 4 1 1 1 1 1,0 3 1 1 6 6,0 6 6 6 1 4 4 1 4 3 -1 -1 4 -1 1 1 1 0 5 6 6 0 9 5 -1 -1 6 0 -1 4 -7 4 1 6 6 6 6 1 6 6 6 2 2 4 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
5 1 -1 -1 -1 -1 -1 -1 1977 6 2 3 4 107 100 1 1 1 1 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 -9 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 1 6 6 6 6 1 6 1 1 6 6 6 6 1 2 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 2 1 1 2 1 1 1 1 2 2 1 6 6 6 6 6 1 1 1 1 1 3 3 3 3 3 3 1 1 0 8 3 5 2 7 6 -9 -9 6 -9 -9 3 2404,05 2 1 6 6 6 6 1 6 6 6 2 2 3 -1 -1 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1981 2 1 3 4 107 100 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 3 1 -1 -1 -1 -1 -1 1 1 6 -1 1 1 6 1,0 6 6 1,0 1 6 6 1 1 1 1 6,0 1 1 2 1 1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 1,0 1 1 1 1 1 1 2 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 5 5 3 6 0 6 3 -1 -9 3 2 -1 3 1803,04 3 1 6 6 6 6 1 6 6 6 2 2 3 3 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 
2 1 -1 -1 -1 -1 -1 -1 1984 2 2 3 4 107 100 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 1 6 1 6 6 6 1 -9 6 -1 -1 -1 -1 -1 1 6 -1 1 1 6 6 6 6 6 6 1 6 1 6 6 6 6 1 1 -1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 1 1 1 2 1 1 1 3 2 1 6 6 6 6 6 4 4 4 1 1 -1 -1 -1 3 3 1 1 1 0 6 4 6 6 6 4 -1 -9 6 3 -1 3 901,52 3 1 6 6 6 6 1 6 6 6 2 2 4 3 -1 3 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1 -1 -1 1958,0 2 2 3 4 107 100 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 3 -9 -1 -1 -1 -1 -1 1 1 6 -1 1 6 6 6 6 6 6 6 6 6 1 6 6,0 6 6 1 1 -1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 1 3 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1,0 1 6 6 6 6 3 6 6 -1 -3 -3 3 -1 3 300 2 6 6 6 6 6 6 6 6 6 3 3 3 2 -1 -9 -9 -9 -9 -9 -9 6 -1,0 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1958 2 2 3 4 107 100 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 3 1 -1 -1 -1 -1 -1 6 1 6 -1 1 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 2 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 1 4 4 4 -1 1 -1 -1 -1 1 1 1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 3 901,52 2 1 6 6 6 6 1 6 6 6 3 2 2 2 -1 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1,0 -1 -1 2004 3 2 3 2 67 60 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6,0 6 6 6 6 6 6 6 6 1 2 1 101163 608 -1 -1 -1 3 6 -1 1 6 6 1 1 1 1 1 6 6 6 1 1 6 6 1 1 1 1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6,0 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 5,0 1 1 6 6 7 7 7 6 8 -1 -3 3 2 -1 5 1900 5 6 6 6 6 6 6 6 6 6 3 4 5 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1 -1 -1 1960 3 1 1 5 120 113 1 1 1 6 -1 -1 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 1 1 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 3 1 1 1 1 1 1 1 1 2 2 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 3 1 1 6 6 5 5 2 6 6 -1 -3 6 -3 -3 3 721,21 3 6 6 6 6 6 6 6 6 6 2 2 2 2 -1 2 2 2 2 2 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1994 3 2 3 3 92 86 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 1 1 1 1 6,0 6 6 2 -9 -1 -1 -1 53244 320 -1 1 6 -1 1 6 1,0 6 6 1 6 6 1 6 6 1 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1,0 -1 -1 3 3 3 2 1 1 1 1 1 1 1 1 1 1 6 6 6 6 1 1 1 1 1 4 4 4 4 2 5 5 1 0 5 6 6 0 7 4 -1 5 4 -3 -1 3 1803,04 2 1 6 6 6 6 1 6 6 6 2 2 1 -1 2 2 2 2 2 2 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 5 6 6 1 6 1 -1 1984 2 3 5 5 120 110 1 1 1 6 1 1 1 6 1 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 6 -1 -1 -1 -1 -1 2 6 -1 1 1 1 1 6 1 6 6 1 6 1 1 1 1 6 1 3 3 1 1 -1 1 1 1 1 -1 -1 28 -1 -1 3 3 3 2 3 -9 2 1 1 1 2 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 4 10 0 9 0 10 10 10 5 6 0 0 4 -9 4 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 6 -1 6 -1 1 0 6 -1 6 -1 6 -1 6 -1 6 
2 5 6 6 1 1 1 -1 1972 2 3 5 3 110 100 1 1 1 6 1 1 1 1 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 6 -1 -1 -1 -1 -1 2 6 -1 1 1 1 1 6 1 6 6 1,0 6 1 6 6 6,0 6 1 2 -1 -1,0 -1,0 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 3 2 2 2 1 2 2 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 3 1 1 5 9 2 5 2 9 5 9 5 0 0 0 4 2500 4 6 6 6 6 6 6 6 6 6 1 1 1 -1 -1 4 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 4 6 6 1 1 1 -1 1977 2 3 5 4 127 117 1 1 1 6 1 1 1 1 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 6 -1 -1 -1 -1 -1 2 6 -1 1 6 1 1 6 1 6 6 1 1 1 1 1 1 6 1 2 3 1 1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 1 1 1 1 1 3 1 1 6 6 1 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 1 7 0 5 3 4 2 2 5 2 0 0 1 3606,07 4 6 6 6 1 6 1 1 1 1 1 1 1 1 1 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1 -1 -1 2001 4 1 3 2 80 70 1 1 1 6,0 6 1 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6,0 6 6 6 6 6 2 3 -1 -1,0 -1 64891 390 -1 1 6 -1 1 6 1 1 6 6 6 6 1 6 1 1 6 6 6 6 1 1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 2 2 1 1 1 3 2 3 6 6 6 6 6 1 1,0 1 4 4 3 3 3 -1 -1 3 1 1 8 10 10 10 5 10 10 10 5 8 0 0 3 1300 3 6 6 6 1 6 1 6 1 6 1 1 3 -1 1 2 2 2 2 2 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1998 2 3 4 3 80 65 1 1 1 6 1 1 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 1 49916 300 -1 -1 -1 1 6 -1 1 1 1 1 1 1 6 6 1 1 6 6 6 6 6 1 2 -1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 2 1 1 1 1 1 1 1 6 6 6 6 6 3 3 3 3 4 -1 -1 -1 -1 -1 2 1 1 6 9 5 5 5 8 9 9 5 4 0 0 3 3000 4 6 6 6 6 6 1 6 6 6 3 1 1 -1 2 -9 -9 -9 1 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1999 5 1 3 3 92 86 1 1 1 6,0 6 6 6 6,0 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 2 2 -1 -1 -1 66554 400 -1 1 6 -1 1 1 6,0 1 6 1 6 6 1 6 6 1 6 6 6 1 1 2 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 3 2 2 1 1 3 2 1 6 6 6 6 6 2 2 2 2 2 -1 -1 -1 -1 -1 3 1 1 8 9 2 5 5 8 10 10 5 6 0 0 3 2000 3 6 6 6 1 6 1 6 1 6 3 1 1 -1 2 2 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6,0 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 2000 6 3 4 2 80 80 1 1 1 6 6 6 6 6 6 1 1 1 -1 2 5 1 1 6 1 6 6 6 6 6 6 1 1 2 -9 -1 -1 -1 60000 360 -1 2 6 -1 1 1 6 6 1 1 6 1 1 6 1 1 1 1 6 6 1 -9 -9 1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 2 1 1 1 1 1 1 1 6 6 6 6 6 1 1 1 1 1 4 4 4 4 4 1 1 1 4 6 3 5 5 5 5 3 3 3 2 2 3 2000 4 6 6 6 6 6 6 6 6 6 3 4 4 -1 4 3 3 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 
2 3 -1 1 1 1 1 -1 1998 2 3 4 2 80 80 1 1 1 6 1 6 6 6 6 1 1 1 -1 2 5 1 6 6 6 6 6 6 6,0 6 6 6 6 1 -9 6 -1 -1 -1 -1 -1 2 6,0 -1 1 1 1 1 6 1 6 6 6 6 1 1 6 6,0 6 6 1 1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 1 3 2404,05 4 6 6 6 6 1 1 6 6 6 3 3 4 -9 -9 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1954 1 -1 2 6 120 110 1 1 1 6 1 6 1 6 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 -9 -9 1 -9 -9 -1 -1 -1 -1 -1 -9 -9 -1 1 6 6 1 6 1 6 1 1 1 1 1 6 6 6 1 2 2 -1 -1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 
2 1,0 -1,0 -1,0 -1,0 -1,0 -1,0 -1 1995 2 3 3 3 90 80 1 1 1 6 6 1 1 1 6 1 1 1 1 1 5 1 6 6 6 6 6 6 6 6,0 6 6 6 2 2 -1 -1 -1 74874 450 -1 1 6 -1 1 1 1 1 1 1 6 6 1 6 6 1 1 1 6 1 2 2 1 1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 4 3 4 4 4 1 1 1 1 3 3 3 6 6 6 6 6 2 2 2 4 4 -1 -1 -1 -1 -1 3 1,0 1 6 5 4 4 0 9 8 7 7 0 0 0 2 3000 3 6 6 6 1 6 1 6 6 6 2 1 1 -1 1 1 1 1 1 1 1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6,0 
1 1 -1 -1 -1 -1 -1 -1 2004 2 3 3 2 77 72 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 2 -9 -1 -1 -1 74874 450 -1 1 6 -1 1 6 6 6 6 6 6 6 1 6 6 6 6 6 6 1 1 -1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 4 4 4 4 4 4 2 1 1 1 1 1 1 6 6 6 6 6 2 2 2 4 4 -1 -1 -1 -1 -1 1 1 1 9 9 5 5 5 9 10 10 5 0 0 0 2 2500 3 6 1 6 6 6 1 6 1 6 1 1 1 -1 1 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
5 1 -1 6 -1 -1 -1 -1 1997 1 -1 2 3 70 70 1 1 1 6 1 6 1 6 6 1 1 1 1 2 5 1 1 -1 6 6 6 6 1 6 6 -9 -9 2 -9 6 -1 -1 21131 127 -1 -9 -9 -1 1 6 1 1 1 1 1 1 1 6 1 1 1 1 1 1 3 4 3 -1 2 2 6 -1 -1 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 1 2500 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1999 2 1 3 4 100 90 1 1 1 6 1 1 1 1 6 1 1 1 1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 1 53244 320 -1 -1 -1 1 6 -1 1 1 1 1 6 1 1 6 1 6 1 1 1 1 6 1 2 2 1 1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 3 1 1 1 1 1 1 1 6 6 6 6 6 3 3 3 4 4 -1 -1 -1 -1 -1 3 1 1 6 6 2 0 0 9 9 9 5 0 0 0 3 3000 4 6 1 6 6 6 1 6 6 6 4 4 4 -1 2 3 3 4 -9 -9 -9 1 150 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1979 2 2 4 4 112 112 1 1 1 6 1 6 1 6 6,0 1 1 1 1 2 5 1 6 6 6 6 6,0 6 6 6 6 6 6 1 -9 6 -1 -1 -1 -1,0 -1 2 6 -1 1 1 6 1 6 1 6 1 1 1 1 1 1 6 1 1 -9 3 -9 -1 -9 1 1 1 1 -1 -1 28 -1 -1 2 1,0 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 3 3 3 1 1 -1 -1 -1 1 1 1 1 1 8 8 5 5 5 5 5 5 5 5 5 5 3 2000 4 6 6 6 6 6 6 6 6 6 3 2 2 -9 -9 -9 -9 -9 -9 -9 -9 1 60 6 -1 6 -1 6 -1 6 -1 6 -1 1 180 6 
2 1 -1 -1 -1 -1 -1 -1 1999 2 3 4 4 107 100 1 1 1 6 6 6 1 1 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 6 -1 -1 -1 -1 -1 2 6 -1 1 1 1 1 6 1 1 1 1 1 6 1 1 1 6 1 2 2 1 1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 3 3 3 1 1 1 1 2 2 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 3 1 1 5 9 5 2 0 10 7 7 5 5 0 0 4 3000 4 6 6 6 6 6 6 6 6 6 3 3 4 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 2004 5 1 5 2 70 70 1 1 1 1 6 1 1 6 6 1 1 1 1 1 5 1 1 6 6 6 6 6 6 6 6 -3 -3 2 2 -1 -1 -1 79865 480 -1 1 6 -1 1 6 6 6 1 6 6 6 6 6 6 1 6 6 6 6 -9 4 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 2 1 1 1 1 1 1 1 6 6 6 6 6 2,0 3 3 1 4,0 -1,0 -1 -1 4 -1,0 1 1 1 5 8 7 7 7 7 5 5 4 3 0 2 2 2000 4 6 6 6 6 6 6 6 6 6 4 4 4 -1 4 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1,0 6 -1 6 -1 6 -1 6 -1,0 1 
